iter	Passed	Remaining
0	132	132744
1	134	67259
2	136	45440
3	138	34504
4	140	27948
5	142	23590
6	144	20518
7	146	18197
8	149	16437
9	151	14977
10	153	13771
11	156	12851
12	158	12028
13	160	11291
14	169	11134
15	174	10715
16	176	10183
17	178	9716
18	180	9297
19	181	8914
20	183	8571
21	190	8477
22	192	8179
23	194	7906
24	196	7658
25	198	7427
26	200	7209
27	204	7086
28	205	6896
29	207	6718
30	209	6552
31	211	6394
32	213	6249
33	215	6112
34	217	5992
35	219	5872
36	221	5757
37	223	5647
38	225	5544
39	226	5447
40	230	5382
41	232	5297
42	244	5436
43	246	5362
44	248	5277
45	250	5203
46	252	5125
47	255	5061
48	257	4990
49	260	4943
50	262	4878
51	264	4813
52	265	4752
53	267	4691
54	269	4634
55	271	4579
56	274	4540
57	276	4488
58	278	4438
59	280	4389
60	282	4341
61	283	4294
62	285	4250
63	290	4254
64	292	4213
65	294	4171
66	296	4133
67	298	4093
68	300	4054
69	302	4017
70	305	4002
71	307	3966
72	309	3930
73	311	3896
74	313	3862
75	315	3830
76	316	3796
77	319	3774
78	321	3746
79	323	3716
80	324	3686
81	326	3658
82	327	3619
83	329	3593
84	331	3566
85	334	3552
86	336	3529
87	338	3503
88	340	3487
89	342	3464
90	344	3441
91	346	3419
92	352	3433
93	354	3412
94	355	3390
95	358	3373
96	360	3352
97	362	3332
98	366	3334
99	368	3314
100	370	3295
101	372	3276
102	374	3257
103	376	3242
104	378	3223
105	381	3219
106	383	3202
107	385	3184
108	387	3166
109	389	3148
110	391	3131
111	392	3114
112	398	3131
113	400	3115
114	402	3099
115	404	3083
116	405	3063
117	407	3048
118	410	3041
119	413	3029
120	414	3014
121	416	2996
122	418	2982
123	420	2967
124	421	2953
125	423	2939
126	426	2933
127	432	2943
128	433	2927
129	435	2914
130	437	2901
131	439	2889
132	443	2889
133	445	2876
134	447	2864
135	448	2851
136	450	2839
137	452	2826
138	454	2814
139	458	2813
140	459	2802
141	461	2786
142	462	2774
143	465	2766
144	467	2755
145	469	2744
146	472	2743
147	474	2732
148	476	2721
149	478	2710
150	480	2699
151	481	2688
152	483	2678
153	485	2667
154	488	2662
155	490	2653
156	492	2642
157	494	2632
158	495	2622
159	497	2612
160	498	2599
161	500	2589
162	505	2593
163	506	2584
164	508	2574
165	510	2565
166	512	2556
167	514	2547
168	518	2549
169	520	2541
170	522	2533
171	524	2525
172	526	2519
173	528	2510
174	530	2502
175	537	2514
176	538	2505
177	540	2497
178	542	2488
179	544	2480
180	545	2470
181	550	2472
182	551	2464
183	553	2455
184	555	2445
185	556	2436
186	560	2438
187	562	2431
188	564	2423
189	566	2416
190	568	2408
191	570	2400
192	573	2398
193	575	2391
194	577	2383
195	579	2376
196	581	2368
197	582	2361
198	584	2353
199	586	2346
200	590	2347
201	592	2342
202	594	2335
203	596	2327
204	598	2321
205	600	2314
206	605	2319
207	607	2312
208	609	2305
209	610	2298
210	612	2291
211	614	2284
212	616	2277
213	619	2276
214	621	2270
215	624	2267
216	626	2260
217	628	2253
218	630	2246
219	631	2240
220	635	2240
221	637	2234
222	639	2228
223	641	2222
224	643	2215
225	645	2209
